id,name,brand,category,sugar,fat,protein,sodium,sodium_unit,energy,energy_unit
1,光明如实无糖酸奶,光明,酸奶,3.2,3.5,3.0,60,mg,87,kcal
2,简爱0%蔗糖酸奶,简爱,酸奶,0.8,2.8,4.0,50,mg,72,kcal
3,乐纯希腊酸奶原味,乐纯,酸奶,5.5,0.2,9.0,70,mg,98,kcal
4,安慕希希腊酸奶原味,伊利,酸奶,12.5,3.1,3.0,80,mg,122,kcal
5,纯甄风味酸乳原味,蒙牛,酸奶,11.0,2.8,2.8,75,mg,115,kcal
6,光明莫斯利安原味,光明,酸奶,10.5,3.3,2.9,70,mg,118,kcal
7,君乐宝简淳原味酸奶,君乐宝,酸奶,4.2,3.0,3.2,65,mg,92,kcal
8,简爱父爱配方酸奶,简爱,酸奶,1.5,2.5,3.5,55,mg,78,kcal
9,乐纯FIT0蔗糖酸奶,乐纯,酸奶,0.5,0.5,8.5,60,mg,85,kcal
10,达能碧悠原味酸奶,达能,酸奶,9.0,2.5,2.8,70,mg,105,kcal
11,养乐多活性乳酸菌,养乐多,酸奶,16.2,0.1,1.2,20,mg,67,kcal
12,优诺原味酸奶,优诺,酸奶,8.5,3.8,3.5,65,mg,110,kcal
13,蒙牛特仑苏酸奶,蒙牛,酸奶,7.5,4.0,4.5,80,mg,125,kcal
14,伊利畅意100%原味,伊利,酸奶,13.5,1.0,1.5,50,mg,88,kcal
15,光明畅优原味,光明,酸奶,12.0,2.0,2.5,55,mg,100,kcal
16,君乐宝开啡尔原味,君乐宝,酸奶,11.5,2.5,3.0,75,mg,110,kcal
17,简爱裸酸奶原味,简爱,酸奶,5.0,3.0,3.8,60,mg,90,kcal
18,乐纯茉莉花茶味酸奶,乐纯,酸奶,8.0,0.5,8.0,65,mg,95,kcal
19,安慕希芒果燕麦酸奶,伊利,酸奶,14.0,3.5,2.5,85,mg,130,kcal
20,纯甄蓝莓味酸乳,蒙牛,酸奶,13.0,2.5,2.5,70,mg,120,kcal
21,光明红枣枸杞酸奶,光明,酸奶,11.5,3.0,2.8,65,mg,115,kcal
22,君乐宝涨芝士酸奶,君乐宝,酸奶,10.0,4.5,3.0,90,mg,130,kcal
23,简爱夏日草莓酸奶,简爱,酸奶,6.5,2.8,3.5,55,mg,95,kcal
24,乐纯抹茶味酸奶,乐纯,酸奶,7.5,0.8,8.5,60,mg,100,kcal
25,达能轻活原味酸奶,达能,酸奶,6.0,1.5,3.0,65,mg,85,kcal
26,养乐多低糖版,养乐多,酸奶,8.5,0.1,1.2,20,mg,45,kcal
27,优诺蓝莓味酸奶,优诺,酸奶,10.5,3.5,3.2,70,mg,115,kcal
28,蒙牛冠益乳原味,蒙牛,酸奶,9.5,2.8,3.0,75,mg,108,kcal
29,伊利大果粒酸奶,伊利,酸奶,12.5,3.0,2.7,80,mg,125,kcal
30,光明优倍原味鲜酸奶,光明,酸奶,5.5,3.8,3.5,70,mg,105,kcal
31,君乐宝悦鲜活原味,君乐宝,酸奶,4.5,3.2,3.8,60,mg,95,kcal
32,简爱海盐焦糖酸奶,简爱,酸奶,7.0,3.0,3.5,90,mg,100,kcal
33,乐纯椰子味酸奶,乐纯,酸奶,6.5,1.0,8.0,55,mg,90,kcal
34,安慕希黄桃燕麦酸奶,伊利,酸奶,13.5,3.2,2.5,85,mg,128,kcal
35,纯甄草莓味酸乳,蒙牛,酸奶,12.5,2.5,2.5,70,mg,118,kcal
36,光明巧克力味酸奶,光明,酸奶,14.5,3.5,2.8,65,mg,135,kcal
37,达能原味大桶装,达能,酸奶,8.0,2.2,2.8,68,mg,98,kcal
38,养乐多蜜桃味,养乐多,酸奶,15.5,0.1,1.0,22,mg,62,kcal
39,优诺草莓味酸奶,优诺,酸奶,11.0,3.2,3.0,68,mg,112,kcal
40,蒙牛酸酸乳原味,蒙牛,酸奶,14.0,0.8,1.0,45,mg,80,kcal
41,光明原味酸奶数据缺失,光明,酸奶,,3.0,2.8,70,mg,95,kcal
42,甜蜜蜜高糖酸奶,蒙牛,酸奶,95.0,3.0,2.5,80,mg,140,kcal
43,进口酸奶钠克标注,达能,酸奶,5.0,2.5,3.2,0.065,g,92,kcal
44,进口酸奶千焦标注,优诺,酸奶,6.0,2.0,3.0,55,mg,385,kJ
45,养乐多乳酸菌饮料,养乐多,乳酸菌饮料,14.0,0.2,1.0,30,mg,60,kcal
46,蛋白超人酸奶,乐纯,酸奶,4.0,2.0,35.0,60,mg,100,kcal
47,某品牌奶酪,光明,奶酪,2.0,25.0,18.0,600,mg,300,kcal
48,君乐宝原味酸奶脂肪缺失,君乐宝,酸奶,7.0,,3.1,65,mg,102,kcal
